Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Aphelidiomyceta,Aphelidiomycota,Aphelidiomycotina,Aphelidiomycetes,Incertae_sedis,Aphelidiales,Aphelidiaceae,Amoeboaphelidium
Fungi,Aphelidiomyceta,Aphelidiomycota,Aphelidiomycotina,Aphelidiomycetes,Incertae_sedis,Aphelidiales,Aphelidiaceae,Aphelidium
Fungi,Aphelidiomyceta,Aphelidiomycota,Aphelidiomycotina,Aphelidiomycetes,Incertae_sedis,Aphelidiales,Aphelidiaceae,Paraphelidium
Fungi,Aphelidiomyceta,Aphelidiomycota,Aphelidiomycotina,Aphelidiomycetes,Incertae_sedis,Aphelidiales,Aphelidiaceae,Pseudaphelidium
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Cerinomycetaceae,Cerinomyces
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Calocera
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Cerinosterus
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dacrymyces
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dacryomitra
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dacryomycetopsis
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dacryopinax
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dacryoscyphus
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Dendrodacrys
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Ditiola
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Femsjonia
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Guepiniopsis
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Dacrymycetales,Dacrymycetaceae,Heterotextus
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Incertae_sedis,Dacryonaemataceae,Dacryonaema
Fungi,Basidiobolomyceta,Basidiobolomycota,Agaricomycotina,Dacrymycetes,Incertae_sedis,Unilacrymales,Unilacrymaceae,Unilacryma
Fungi,Basidiobolomyceta,Basidiobolomycota,Basidiobolomycotina,Basidiobolomycetes,Incertae_sedis,Basidiobolales,Basidiobolaceae,Basidiobolus
Fungi,Basidiobolomyceta,Basidiobolomycota,Basidiobolomycotina,Basidiobolomycetes,Incertae_sedis,Basidiobolales,Basidiobolaceae,Schizangiella
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Classiculomycetes,Incertae_sedis,Classiculales,Classiculaceae,Classicula
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Classiculomycetes,Incertae_sedis,Classiculales,Classiculaceae,Jaculispora
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cryptomycocolacomycetes,Incertae_sedis,Cryptomycocolacales,Cryptomycocolacaceae,Colacosiphon
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cryptomycocolacomycetes,Incertae_sedis,Cryptomycocolacales,Cryptomycocolacaceae,Cryptomycocolax
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Buckleyzymales,Buckleyzymaceae,Buckleyzyma
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Cyphobasidiales,Cyphobasidiaceae,Cyphobasidium
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Cystobasidiales,Cystobasidiaceae,Cystobasidium
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Cystobasidiales,Cystobasidiaceae,Halobasidium
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Cystobasidiales,Cystobasidiaceae,Occultifur
